LFFz,"[690.59643583278273, 699.67251373154818, 707.2572638427273, 698.82287683261507, 728.37405291161815, 564.43333922386876, 604.13244693398713]"
RFFz,"[698.41043081231714, 694.38531793600907, 702.98886447048426, 699.40405115781164, 712.35184343204207, 639.91725635690045, 652.02397067102561]"
LRFz,"[868.11618050997788, 867.46260425486935, 757.3380000735857, 872.56215007960361, 929.04123220024042, 938.81659147943003, 889.96340174812906]"
RRFz,"[867.28732561870208, 868.21698202212997, 745.05189994885393, 862.52392047447108, 941.89110692027157, 957.8221727819996, 838.16303658632216]"
LFDisp,"[-0.012846399135542653, -0.00044738561263909339, 0.0099142948671138553, -0.0016080917587226456, 0.038762367365598599, -0.18520035625154541, -0.13096660254919795]"
RFDisp,"[-0.0031168023287899463, -0.011009180517629271, 0.0058605185695769051, -0.0011685271415457954, 0.024219300847141294, -0.11780930126097952, -0.094070645743086989]"
LRDisp,"[0.00019928046308382609, -0.00092177657826864826, -0.18981475116023028, 0.0078253003080680401, 0.10470194202442611, 0.12146928212595201, 0.03767307332440669]"
RRDisp,"[-0.0014694317140163035, 0.00044738561263909615, -0.25350123721885781, -0.011290885619647327, 0.1523527977737559, 0.18520035625154549, -0.061519512193150182]"
